adm3_pcode,adm3_name,adm2_name,adm1_name,total_population,populated_hex_count,total_area_km2,populated_area_km2,arithmetic_density,physiographic_density
MMR007011,Kyaukkyi,Taungoo,Bago (East),83434.0,507,2022.952,435.1822,41.2437,191.722
MMR007012,Phyu,Taungoo,Bago (East),265164.0,739,2316.8604,634.2923,114.4497,418.047
MMR007013,Oktwin,Taungoo,Bago (East),154823.0,559,1436.1477,478.6315,107.8044,323.4702
MMR007014,Htantabin,Taungoo,Bago (East),104471.0,380,543.7451,325.4151,192.1323,321.0392
MMR008001,Pyay,Pyay,Bago (West),226529.0,562,786.581,481.4972,287.992,470.468
MMR008002,Paukkhaung,Pyay,Bago (West),129579.0,970,1918.4532,830.4134,67.5435,156.0416
MMR008003,Padaung,Pyay,Bago (West),146272.0,759,2515.4567,651.6925,58.1493,224.4494
MMR008004,Paungde,Pyay,Bago (West),133491.0,531,935.9497,455.8151,142.6262,292.8621
MMR008005,Thegon,Pyay,Bago (West),132129.0,506,779.3116,434.4221,169.5458,304.1489
MMR008006,Shwedaung,Pyay,Bago (West),124283.0,554,699.0213,475.9609,177.7957,261.1202
MMR008007,Thayarwady,Thayarwady,Bago (West),159856.0,596,1040.2718,515.1749,153.6675,310.2946
MMR008008,Letpadan,Thayarwady,Bago (West),185550.0,623,1472.7541,538.0631,125.9884,344.8481
MMR008009,Minhla,Thayarwady,Bago (West),125185.0,484,678.5343,417.4524,184.4933,299.8785
MMR008010,Okpho,Thayarwady,Bago (West),122480.0,572,1051.3787,492.6657,116.4947,248.6067
MMR008011,Zigon,Thayarwady,Bago (West),65980.0,204,256.4139,175.462,257.3183,376.0357
MMR008012,Nattalin,Thayarwady,Bago (West),177486.0,650,1356.4866,558.6738,130.8424,317.6916
MMR008013,Monyo,Thayarwady,Bago (West),120377.0,556,657.0732,479.2165,183.2018,251.1954
MMR008014,Gyobingauk,Thayarwady,Bago (West),120535.0,345,769.7303,296.9705,156.5938,405.882
MMR009001,Magway,Magway,Magway,283495.0,859,1769.9541,728.3671,160.1708,389.22
MMR009002,Yenangyaung,Magway,Magway,126610.0,515,1027.6091,435.2835,123.2083,290.8679
MMR009003,Chauk,Magway,Magway,178567.0,682,1003.0319,574.9557,178.0272,310.5753
MMR009004,Taungdwingyi,Magway,Magway,255662.0,989,1973.385,839.8524,129.5551,304.413
MMR009005,Myothit,Magway,Magway,142114.0,696,1596.3724,589.478,89.0231,241.0845
MMR009006,Natmauk,Magway,Magway,203672.0,1233,2314.2752,1041.2006,88.0068,195.6127
MMR009007,Minbu,Minbu,Magway,184178.0,705,1667.8049,598.0463,110.4314,307.9661
MMR009008,Pwintbyu,Minbu,Magway,160236.0,525,1205.1375,444.3482,132.9608,360.6091
MMR009009,Ngape,Minbu,Magway,52790.0,345,1322.7771,293.1288,39.9085,180.0915
MMR009010,Salin,Minbu,Magway,231829.0,977,2322.7436,824.5286,99.8083,281.1655
MMR009011,Sidoktaya,Minbu,Magway,47558.0,456,2830.4545,385.3993,16.8022,123.3993
MMR009012,Thayet,Thayet,Magway,99199.0,660,1206.1141,563.4133,82.2468,176.0679
MMR009013,Minhla,Thayet,Magway,139217.0,912,2383.1793,776.076,58.4165,179.3858
MMR009014,Mindon,Thayet,Magway,60532.0,809,2558.5412,690.8631,23.6588,87.6179
MMR009015,Kamma,Thayet,Magway,72632.0,478,1148.8094,409.1927,63.2237,177.5007
MMR009016,Aunglan,Thayet,Magway,223555.0,1138,2682.7014,971.9202,83.332,230.0137
MMR009017,Sinbaungwe,Thayet,Magway,116985.0,794,2061.2015,676.0313,56.7557,173.0467
MMR009018,Pakokku,Pakokku,Magway,283688.0,881,1317.4377,738.6984,215.3331,384.0376
MMR009019,Yesagyo,Pakokku,Magway,210147.0,720,992.9602,601.3678,211.6369,349.4484
MMR009020,Myaing,Pakokku,Magway,221438.0,1801,2041.5776,1503.8808,108.4642,147.2444
MMR009021,Pauk,Pakokku,Magway,171439.0,1350,2464.1523,1130.0485,69.5732,151.7094
MMR009022,Seikphyu,Pakokku,Magway,93385.0,584,1527.9108,490.9627,61.1194,190.2079
MMR009023,Gangaw,Gangaw,Magway,135106.0,969,2486.681,804.2451,54.3319,167.9911
MMR009024,Tilin,Gangaw,Magway,49913.0,557,1335.2112,464.8732,37.3821,107.3691
MMR009025,Saw,Gangaw,Magway,72414.0,523,1784.7877,438.9411,40.5729,164.9743
MMR010001,Aungmyaythazan,Mandalay,Mandalay,201107.0,22,26.1341,18.2739,7695.2017,11005.1494
MMR010002,Chanayethazan,Mandalay,Mandalay,16061.0,1,11.7989,0.8309,1361.2322,19329.4995
MMR010003,Mahaaungmyay,Mandalay,Mandalay,116606.0,7,14.7541,5.8172,7903.2849,20044.8976
MMR010004,Chanmyathazi,Mandalay,Mandalay,165076.0,16,26.0262,13.2994,6342.6856,12412.278
MMR010005,Pyigyitagon,Mandalay,Mandalay,255244.0,25,32.6772,20.7888,7811.073,12277.9533
MMR010006,Amarapura,Mandalay,Mandalay,186338.0,183,209.0232,152.2525,891.4706,1223.8749
MMR010007,Patheingyi,Mandalay,Mandalay,159384.0,415,592.5963,344.6485,268.9588,462.4538
MMR010008,Pyinoolwin,Pyinoolwin,Mandalay,251723.0,830,1992.1435,689.2844,126.3579,365.1947
MMR010009,Madaya,Pyinoolwin,Mandalay,253122.0,720,1099.2656,596.5152,230.2646,424.3345
MMR010010,Singu,Pyinoolwin,Mandalay,156367.0,412,1509.1894,340.2062,103.6099,459.6243
MMR010011,Mogoke,Pyinoolwin,Mandalay,173869.0,381,1178.5061,312.9491,147.5334,555.5823
MMR010012,Thabeikkyin,Pyinoolwin,Mandalay,151727.0,571,2581.442,468.2981,58.7761,323.9966
MMR010013,Kyaukse,Kyaukse,Mandalay,242742.0,654,1874.4482,545.7072,129.5005,444.8209
MMR010014,Sintgaing,Kyaukse,Mandalay,119956.0,380,448.4439,316.5373,267.4939,378.9632
MMR010015,Myittha,Kyaukse,Mandalay,188980.0,656,891.5063,548.5393,211.9783,344.515
MMR010016,Tada-U,Kyaukse,Mandalay,126131.0,666,938.1044,555.2682,134.453,227.1533
MMR010017,Myingyan,Myingyan,Mandalay,275138.0,554,988.4381,462.8888,278.3563,594.3933
MMR010018,Taungtha,Myingyan,Mandalay,212602.0,841,1352.3909,705.0474,157.2045,301.5428
